edad,ingreso_mensual,total_deuda_actual,historial_crediticio,antiguedad_laboral,numero_dependientes,tipo_vivienda,proposito_credito,monto_credito,ingreso_imputado,deuda_imputada_neutra,llavemod,llavehog,dictamen,score_final,dti_ratio,dti_clasificacion,reglas_activadas,n_reglas,n_compensaciones,errores_validacion,tiene_credito,algun_atraso,y_real,y_pred
42,1500.0,450.0,2,0,2,Familiar,Consumo,10000.0,True,True,809010202,8090102,RECHAZADO,42,0.3,MODERADO,R001|R004,2,0,,True,False,1,0
21,7000.0,2100.0,2,0,3,Familiar,Consumo,10000.0,True,True,809303103,8093031,RECHAZADO,52,0.3,MODERADO,R001|R004|R012,3,1,,True,False,1,0
27,1600.0,480.0,2,2,1,Familiar,Consumo,10000.0,False,True,810102102,8101021,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,,True,False,1,0
44,2000.0,600.0,2,0,2,Propia,Negocio,12000.0,True,True,810202102,8102021,REVISION_MANUAL,69,0.3,MODERADO,R001|R004|R005|R006,4,0,,True,False,1,0
52,2500.0,750.0,2,0,0,Propia,Consumo,10000.0,True,True,810603101,8106031,REVISION_MANUAL,70,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
44,2000.0,600.0,2,0,4,Familiar,Consumo,10000.0,True,True,811505102,8115051,RECHAZADO,29,0.3,MODERADO,R001|R004|R010,3,0,,True,False,1,0
46,1750.0,525.0,2,1,0,Familiar,Negocio,12000.0,False,True,811705101,8117051,REVISION_MANUAL,75,0.3,MODERADO,R001|R006,2,0,,True,False,1,0
20,5000.0,1500.0,2,2,3,Familiar,Consumo,10000.0,False,True,811805102,8118051,REVISION_MANUAL,66,0.3,MODERADO,R001|R009|R012,3,1,,True,False,1,0
42,1600.0,480.0,2,2,2,Familiar,Consumo,10000.0,False,True,811918102,8119181,REVISION_MANUAL,70,0.3,MODERADO,R001,1,0,,True,False,1,0
46,1000.0,300.0,2,2,1,Familiar,Consumo,10000.0,False,True,812313102,8123131,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,,True,False,1,0
29,600.0,180.0,2,1,4,Familiar,Consumo,10000.0,False,True,813904103,8139041,RECHAZADO,47,0.3,MODERADO,R001|R010,2,0,,True,False,1,0
32,1250.0,375.0,2,2,6,Familiar,Consumo,10000.0,False,True,814803103,8148031,RECHAZADO,57,0.3,MODERADO,R001|R010,2,0,,True,False,1,0
70,1500.0,450.0,2,0,1,Propia,Consumo,10000.0,True,True,816704101,8167041,RECHAZADO,56,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
